File_Name,PSNR_dB,SSIM,LPIPS
000318.png,23.6223,0.6714,0.5117
000319.png,23.833,0.719,0.4681
000320.png,21.8095,0.7113,0.437
000321.png,29.1698,0.8849,0.2836
000322.png,27.9834,0.8717,0.3033
000323.png,28.5323,0.8754,0.3017
000324.png,25.3505,0.8568,0.2969
000325.png,31.2738,0.9126,0.2481
000326.png,31.1369,0.9072,0.2662
000327.png,31.0675,0.9048,0.2638
000328.png,30.2694,0.7295,0.5849
000329.png,28.0123,0.8597,0.3316
000330.png,28.3055,0.8613,0.338
000331.png,28.3109,0.8588,0.3199
000332.png,33.3327,0.9458,0.2298
000333.png,26.0104,0.8158,0.326
000334.png,26.3983,0.8229,0.3194
000335.png,26.0481,0.8135,0.3296
000336.png,29.7298,0.9268,0.2374
000337.png,35.7181,0.932,0.3119
000338.png,33.2871,0.9191,0.3425
000339.png,33.7446,0.9221,0.345
000340.png,29.0799,0.773,0.4157
000341.png,30.8092,0.8859,0.3727
000342.png,30.0049,0.859,0.366
000343.png,29.4906,0.8488,0.3673
000344.png,27.5886,0.8208,0.3229
000345.png,27.667,0.8344,0.3315
000346.png,28.2882,0.8649,0.3133
000347.png,28.0909,0.8587,0.3196
000348.png,28.9923,0.8709,0.2805
000349.png,26.5689,0.7678,0.3394
000350.png,27.2261,0.7845,0.3239
000351.png,26.2535,0.7693,0.3267
000352.png,10.8335,0.346,0.6005
000353.png,15.8868,0.3451,0.6091
000354.png,14.7887,0.3424,0.6182
000355.png,14.6781,0.3464,0.6156
000356.png,24.4911,0.7563,0.4254
000357.png,29.1301,0.8415,0.3668
000358.png,26.9578,0.8243,0.3461
000359.png,28.2555,0.8382,0.3561
000360.png,23.3045,0.78,0.4076
000361.png,34.2609,0.8487,0.5371
000362.png,30.0286,0.7434,0.5725
000363.png,29.8068,0.7565,0.5268
000364.png,25.0216,0.7721,0.4209
000365.png,29.073,0.873,0.2657
000366.png,28.8904,0.8703,0.2777
000367.png,28.981,0.8723,0.2726
000368.png,28.6788,0.8214,0.359
000369.png,25.083,0.7497,0.4152
000370.png,23.394,0.7617,0.3873
000371.png,24.2412,0.7461,0.3944
000372.png,30.2648,0.7125,0.5732
000373.png,20.8245,0.6931,0.3647
000374.png,20.4925,0.6673,0.3633
000375.png,20.2819,0.6673,0.3535
000376.png,21.4068,0.5674,0.514
000377.png,21.1206,0.7825,0.4692
000378.png,21.3252,0.7724,0.4795
000379.png,21.2114,0.7854,0.4437
000380.png,27.9981,0.9,0.3682
000381.png,26.0381,0.5823,0.6119
000382.png,25.8977,0.5809,0.6066
000383.png,25.7644,0.5657,0.6244
000384.png,31.7838,0.9338,0.2845
000385.png,21.9012,0.4932,0.5745
000386.png,21.9405,0.4921,0.566
000387.png,21.6403,0.4935,0.5785
000388.png,26.4492,0.8272,0.367
000389.png,30.8952,0.8522,0.3773
000390.png,32.3773,0.9078,0.2571
000391.png,34.4832,0.9045,0.3083
000392.png,30.2883,0.8818,0.3496
000393.png,31.9454,0.8117,0.496
000394.png,32.2097,0.815,0.4864
000395.png,33.4693,0.8444,0.4712
000396.png,25.0336,0.8134,0.3882
000397.png,25.1924,0.3886,0.6723
000398.png,22.2471,0.3057,0.7056
000399.png,21.2227,0.2801,0.7349
000400.png,31.8454,0.9227,0.3021
000401.png,30.7002,0.7909,0.4506
000402.png,28.8797,0.7963,0.4979
000403.png,28.6865,0.761,0.5226
000404.png,23.5406,0.6648,0.3859
000405.png,15.7963,0.3449,0.5998
000406.png,16.1541,0.3427,0.6113
000407.png,14.9651,0.3454,0.6042
000408.png,28.568,0.8349,0.403
000409.png,33.3096,0.8535,0.5071
000410.png,33.7578,0.8578,0.4986
000411.png,33.9384,0.8662,0.4874
000412.png,31.3217,0.8078,0.4751
000413.png,20.8915,0.6666,0.4784
000414.png,21.4893,0.674,0.4861
000415.png,21.7163,0.6718,0.5006
000416.png,29.7369,0.8775,0.3496
000417.png,28.5599,0.5435,0.6481
000418.png,28.0735,0.533,0.6282
000419.png,28.1129,0.5337,0.625
000420.png,29.9144,0.7968,0.513
000421.png,30.102,0.7029,0.5665
000422.png,29.6059,0.685,0.5634
000423.png,29.7209,0.6881,0.557
000424.png,28.7651,0.7783,0.3971
000425.png,33.1271,0.7297,0.3441
000426.png,30.6213,0.7019,0.36
000427.png,32.661,0.704,0.3715
000428.png,27.976,0.9151,0.2649
000429.png,22.3483,0.9026,0.2755
000430.png,21.4674,0.8801,0.2805
000431.png,22.2426,0.8918,0.3046
000432.png,30.1736,0.887,0.3007
000433.png,29.736,0.7771,0.4545
000434.png,30.6895,0.8041,0.4472
000435.png,31.0883,0.8206,0.4274
000436.png,33.719,0.9343,0.2244
000437.png,31.6818,0.9237,0.3104
000438.png,31.7275,0.9227,0.3394
000439.png,32.9908,0.931,0.3111
000440.png,27.7178,0.787,0.4238
000441.png,29.9519,0.8854,0.3348
000442.png,30.939,0.8605,0.412
000443.png,29.9557,0.8545,0.3975
000444.png,27.568,0.8669,0.3122
000445.png,29.1199,0.8607,0.4005
000446.png,28.8396,0.8368,0.4332
000447.png,29.8417,0.8529,0.4118
000448.png,25.6886,0.4801,0.7039
000449.png,32.0022,0.9168,0.4071
000450.png,31.2901,0.8978,0.4295
000451.png,31.3083,0.8991,0.4363
000452.png,32.9532,0.9265,0.3636
000453.png,24.2002,0.5209,0.566
000454.png,24.0517,0.5219,0.5648
000455.png,24.1939,0.5181,0.5509
000456.png,24.9872,0.6932,0.4795
000457.png,23.5992,0.7199,0.4082
000458.png,23.9583,0.731,0.406
000459.png,24.0509,0.7322,0.399
000460.png,26.7796,0.8505,0.3209
000461.png,35.313,0.9298,0.3321
000462.png,34.1679,0.9218,0.3366
000463.png,35.1858,0.9412,0.2834
000464.png,25.7341,0.791,0.3956
000465.png,26.9359,0.4198,0.7522
000466.png,26.7393,0.4101,0.7408
000467.png,26.3651,0.4001,0.7404
000468.png,20.3392,0.5741,0.4712
000469.png,23.1389,0.7082,0.4502
000470.png,23.4581,0.7154,0.446
000471.png,23.5004,0.724,0.4363
000472.png,27.2171,0.8992,0.2827
000473.png,31.4205,0.8796,0.4228
000474.png,30.527,0.8599,0.4566
000475.png,32.2247,0.9298,0.4013
000476.png,27.7887,0.8885,0.3017
000477.png,24.6338,0.4193,0.6913
000478.png,24.8737,0.4236,0.696
000479.png,24.3554,0.4185,0.6768
000480.png,23.9607,0.8323,0.3861
000481.png,30.757,0.8319,0.4637
000482.png,30.4439,0.8361,0.4439
000483.png,30.1954,0.8141,0.4639
000484.png,23.8305,0.7328,0.473
000485.png,31.742,0.7832,0.5741
000486.png,35.2091,0.8767,0.5149
000487.png,34.9651,0.8746,0.5136
